机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
图片生产器	图像	liu130620	3393	144	https://www.coze.cn/store/bot/7338741732642865189	基于文本描述生产图片	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/fbe6a9da380e49eaace115756974779c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=2G%2FTjFPC%2Bw5lNf%2Blu8g%2BjgEoDys%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338741732642865189
卡通头像	图像	vivi	8974	91	https://www.coze.cn/store/bot/7338066572000542730	一句话帮你生成卡通头像哦！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/16ad112e9b4d4f0c85925960102420d0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=YWIOKP1L8wooz%2FHv2Md2ztJzjSA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338066572000542730
宫崎骏的移动城堡	图像	vivi	2218	74	https://www.coze.cn/store/bot/7338279350523084838	穿越到宫崎骏的动漫世界	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/25c7f9cad27145bb980460ac3ec3d441~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=Jps8I9EMjSJTg%2FOVFFXeTEgRivk%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338279350523084838
高质量图片生成bot	图像	用户1469522586104	943	18	https://www.coze.cn/store/bot/7339009014883401755	基于云雀语言模型、ByteArtist模型的图像生成机器人，具有聊天、文生图、图像理解、在线查找等功能。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/3220f751cb314c2db1f0bd0381191e16~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=8ChXhLnmwzKk7m1CLo%2BJcW5mHJs%3D	https://p6-passport.byteacctimg.com/img/user-avatar/c7275aa19fb8d2486379d285ce97794f~300x300.image	7339009014883401755
AI图片生成	图像	abc520	888	19	https://www.coze.cn/store/bot/7338701700615913472	关键词生成卡通头像、广告图片、美女照片等等。。。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/8eed1e01978e408c8c01a58511e56bfe~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=31aMacbrteELYkk0bbZgHj1zMtk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/e322db3495a777071ede8065ccc1f40a~300x300.image	7338701700615913472
ai图片生成	图像	用户9072223721008	594	11	https://www.coze.cn/store/bot/7339360671337037876	作为一位专业绘图师，会通过各种技法展现作品。并不仅限于绘画，还包括书法、语言、诗词等形式。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/74345874bb794ef58060060c83de5cf6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=Ua7kB5yjceyDseVWTPU9MHj2pVo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/4fa2da5642568408cbde303de00f684f~300x300.image	7339360671337037876
图表绘制小助手	图像	Haibara	732	36	https://www.coze.cn/store/bot/7339738464360906752	输入一段图表的描述，生成相关的图表的图片，包括流程图、用例图、时序图等。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0e502f9e13614146b9a29bf46b9b744b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=XtiZV7NO%2FXVZEukPyjPjqJDcdoA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/205e7ae312591b2cb2ffff8a90edbf7b~300x300.image	7339738464360906752
皮特照相馆 | 证件照生成/美颜/导出	图像	ryanzhao	516	20	https://www.coze.cn/store/bot/7340139826303205430	我是皮特，专业证件照处理50年！无论你只有生活照，还是已经有以往拍摄的证件照，我都能处理为不同尺寸的证件照片，我还可以帮你替换背景颜色和面部美颜，没想到吧！最后，我一步到位还帮你导出排版好的图片，你可以生成二维码保存，随时去我全球任意线下门店就可以打印了！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/534eacd8d69a497a94b9ae6f39328e55~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=j1%2BIVqVMtjW2mjwe8YgOe98lIQA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340139826303205430
印刷知识星球	图像	用户2109810206527	352	18	https://www.coze.cn/store/bot/7342460659977895976	欢迎来到“印刷设计星球”！这是一个专门为设计师打造的智能问答插件，致力于解决你在设计和印刷过程中遇到的所有问题。 我们的插件基于最新的AI技术，能够理解并回答各种复杂的印刷和设计相关问题。我们的目标是帮助设计师节省寻找和学习印刷知识的时间，让你的设计和印刷过程更加轻松和高效！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/55ba983485524c73a79ea23adfee309d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=5nQQfsDlOdn0TX8gpwZ1dC9QmJU%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342460659977895976
图图 Bot	图像	用户9121773077388	802	28	https://www.coze.cn/store/bot/7338712738216165413	一个能根据输入的文本生成图片的机器人，支持通用、卡通、像素画风格，支持原图重绘。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/60ec8529e8df4cfb84f53b636cbbd4ce~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497494&x-signature=PqDVUNNKdunLp5Nord%2Fxo%2F6gR1g%3D	https://p3-passport.byteacctimg.com/img/user-avatar/0ecf4236da1fd1a92f60b7b4239d5f50~300x300.image	7338712738216165413
