机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
buleok	学习助手	用户2421217746223	0	0	https://www.coze.cn/store/bot/7339811372894552115		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/6232059a0e3e4bb6849fbb4fb86898da~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496519&x-signature=%2F%2BmQ7lJ%2FELApdLP1jttDNCvjkgA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339811372894552115
一起来学大模型	学习助手	xiang83	1	0	https://www.coze.cn/store/bot/7339808898238529576	回答用户提出的各类关于人工智能和大语言模型的问题	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/477f81430e2341d99c7afd4b2a3bd1ca~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496519&x-signature=ce8hkhGTFdiXBY0DPd%2BW3IkN7o4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339808898238529576
周礼	学习助手	user547	0	0	https://www.coze.cn/store/bot/7339798089328427044	周朝礼仪	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/578856035340427285658af773df2d2d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496519&x-signature=vSL9wIlUoAMnxrXI1ioTXBq3U7I%3D	https://p3-passport.byteacctimg.com/img/user-avatar/55a9f5fd76c411be7cfbc56734da6b21~300x300.image	7339798089328427044
测试工程	学习助手	用户261613591611	0	0	https://www.coze.cn/store/bot/7339781953660583974		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/61d04e5110c74d5abcd91037e362273b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=JkQbENsZZeYkeSHmWnqOpK96Yvc%3D	https://p26-passport.byteacctimg.com/img/user-avatar/a10db63a99e2126e21e711526df39de5~300x300.image	7339781953660583974
英语长难句攻克机	学习助手	Arwen	1	0	https://www.coze.cn/store/bot/7339748939026989071		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/eb19080d8fb5492993a1982adbb9d854~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=efOTt6N6lkBmlKg50PC%2B9oIXpAI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/5df8ec0d280189caa0e10e35930c431f~300x300.image	7339748939026989071
aigc测试用bot	学习助手	Jizh	0	0	https://www.coze.cn/store/bot/7339731010281635840		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e690025698cf4da38b7023e9bf4ac737~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=jEc8xpNz1S2J7BYJXoGC1jysw24%3D	https://p26-passport.byteacctimg.com/img/user-avatar/7a6b2edabeecb75fa6057a968df199af~300x300.image	7339731010281635840
跟学老师	学习助手	用户7906924193637	0	0	https://www.coze.cn/store/bot/7339603191065100338	一个时时刻刻跟进你的学习进度并督促你学习的老师	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/da70a1add0004873b68670faf49a7ae1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=4p9BFg7JNv0Xx94t2saW4ukADFE%3D	https://p9-passport.byteacctimg.com/img/user-avatar/0d9f8e78e5a282147015076ac7048772~300x300.image	7339603191065100338
原始点小灵通学习助手	学习助手	51ysd	6	0	https://www.coze.cn/store/bot/7339541395512000563	一个能够为你提供原始点医学诊断和治疗建议的机器人	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/5c8566150b0f4b4781b9bd583c409903~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=RHFJw3sLgPr5xjrx%2BExJLWqBFi0%3D	https://p3-passport.byteacctimg.com/img/user-avatar/ac69f6faf450b35878715078eabf54da~300x300.image	7339541395512000563
小T	学习助手	用户2205261144273	0	0	https://www.coze.cn/store/bot/7339520506825162803	无所不能	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/8783ac2c185c4e46a67f0f13628ed1c2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=H8rXNMWBXTIBzwLfOXVhGtqell4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339520506825162803
小卡问答	学习助手	Rickylei	1	0	https://www.coze.cn/store/bot/7339520875391205385	知识问答，新闻问答	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/853b7da08b5d49d5b9c1f351d65b7509~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=IsZIpoZLAzuGuutn5XmN2R9gXr8%3D	https://p6-passport.byteacctimg.com/img/user-avatar/3f599bef0396284106d4217d898aebb9~300x300.image	7339520875391205385
进出口报关报检-范老师	学习助手	FZJ_GCAZ	0	0	https://www.coze.cn/store/bot/7339414809512804363		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c3f1db4540c0491ab016b02cd19b86de~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=wOydwHG%2B44aOiEWqpgNCfY8fNXE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/12839c14476fd6f10f31b4a6e9b962f8~300x300.image	7339414809512804363
狗崽子	学习助手	用户6268151721822	0	0	https://www.coze.cn/store/bot/7339151142347227162		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/3cf7c77cd08c43c4acfc47a8af832ff0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=D3sP57DxVKng3jI9EY%2FyXwMDzmg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339151142347227162
masaki	学习助手	用户800584074781	1	0	https://www.coze.cn/store/bot/7339176777597616167	教科研小助理	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0dd262b1d49846069bef5785f297ca66~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=371Pp2o2L%2Bh9cj25rSm61YwLmZ4%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339176777597616167
飞羽倩影	学习助手	用户6612058240235	4	1	https://www.coze.cn/store/bot/7338735509222572068	鸟类摄影师	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2f43a83d65b44157bc2e7267a340cd56~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496525&x-signature=jlLwYoh2ldiutT4CKAcChYc%2FqDg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/d26aa18d6fff1156deb143743f95a3d7~300x300.image	7338735509222572068
