机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
印刷知识星球	图像	用户2109810206527	387	19	https://www.coze.cn/store/bot/7342460659977895976	欢迎来到“印刷设计星球”！这是一个专门为设计师打造的智能问答插件，致力于解决你在设计和印刷过程中遇到的所有问题。 我们的插件基于最新的AI技术，能够理解并回答各种复杂的印刷和设计相关问题。我们的目标是帮助设计师节省寻找和学习印刷知识的时间，让你的设计和印刷过程更加轻松和高效！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/55ba983485524c73a79ea23adfee309d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=ImfU1yc3XLGkY%2FTd75m%2B0JcdKfo%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342460659977895976
图表绘制小助手	图像	Haibara	754	37	https://www.coze.cn/store/bot/7339738464360906752	输入一段图表的描述，生成相关的图表的图片，包括流程图、用例图、时序图等。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0e502f9e13614146b9a29bf46b9b744b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=6P2MyMcWr7npurpx6xpuCFSH37w%3D	https://p3-passport.byteacctimg.com/img/user-avatar/205e7ae312591b2cb2ffff8a90edbf7b~300x300.image	7339738464360906752
书法老师	学习助手	vivi	2337	14	https://www.coze.cn/store/bot/7338067194645086259	我可以帮助学写字的朋友们学习正确的汉字笔顺哦！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2194c6e35ed34347b16906e0a072e0fe~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=lk%2BegUcPIDnARABs6iKp5SUeRtU%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338067194645086259
儿童绘本专家	学习助手	Anhui	413	16	https://www.coze.cn/store/bot/7338720776603861018	这是一个儿童绘本专家，深度了解中国传统神话故事，了解中国上下五千年数据，绘本内容体现出耐心、决心、信心，体现出勇敢、不怕吃苦，绘本中的内容上下文的角色形象保持一致。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/168f00488e4d47ee8961f3e0450fc738~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=GeAuv6GmKL4ExJcPwHVib581sn4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/89f09adcf26694b69a15a54d58271a1c~300x300.image	7338720776603861018
万能工作汇报辅导	效率工具	marshallkove	262	17	https://www.coze.cn/store/bot/7339725496869093376	工作汇报有技巧，提升职场“可见度”！帮你准备不同场景（如总结、规划、邀功）和形式（如口头、公文、PPT）汇报的结构框架、行文措辞、常见问题。从容高效协同、展现想法、获得支持，走向人生巅峰！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f76ad63d834d457fb11ec9952296e39e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=ZJ7xlD60BRRbGip%2BgPqoejTpcIs%3D	https://p3-passport.byteacctimg.com/img/user-avatar/af8f764c894fab29add31b7b0c30bbe5~300x300.image	7339725496869093376
哄女友挑战	游戏	bot_maker	255	6	https://www.coze.cn/store/bot/7340618264801918985	当你不小心惹怒了你的女友，面对心爱的她，你要如何哄好她	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/883fe0bba3aa4f1b99254237e9129eaf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=%2BNPhXHvnzJpKp7hmiAqARkJjLIM%3D	https://p6-passport.byteacctimg.com/img/user-avatar/251920d88348d7c4bbd7e47f647d8953~300x300.image	7340618264801918985
本子上的游戏	游戏	vivi	1484	3	https://www.coze.cn/store/bot/7338052192492109834	有15种结局的沉浸式文字游戏，不是我看不起你，你真的通不了关！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/647c1dbd6bb64666885d4e3f679550f6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=mXOUrPYMrCTSQO0ScGm5sCqdMhE%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338052192492109834
乘高铁，看中国	咨询	zhikwok	233	1	https://www.coze.cn/store/bot/7340892977163796532	让我们坐着高铁看看美丽精彩的中国吧！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a6a3b9d6dd5947689e482ff26c1e1dd3~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=mX7vwM0ZhhKuoErOVzt80qGHdSM%3D	https://p9-passport.byteacctimg.com/img/user-avatar/1e80279c562583d42961e79b4ff0bd02~300x300.image	7340892977163796532
条码生成器	效率工具	zero2one	416	18	https://www.coze.cn/store/bot/7339451757703200820	输入内容生成条码或二维码	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0a5cfe0cd8fa45828aa4c30a70b47d73~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=KW8Fuiuf33%2BO5MXVSqB5VXnfs4E%3D	https://p3-passport.byteacctimg.com/img/user-avatar/b50e89cd14c82392d2ef0c0fc94727a0~300x300.image	7339451757703200820
购车小帮手	咨询	lionbb	518	10	https://www.coze.cn/store/bot/7338262107026309147	我是购车小帮手，一个对汽车了如指掌的智能助手。你可以告诉我任何你感兴趣的车型或者车系，我会为您做详细的介绍。如果你也想购买二手车，也可以告诉我您的预算和需求，我会为你搜集最新的报价。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/070deadd17dc4c62a5f3878a8fbb1a70~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=nBqe3dwO39kEUuATssdiWyFdEtc%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338262107026309147
《甄嬛传》十级学者	休闲娱乐	ljzz7381	483	2	https://www.coze.cn/store/bot/7339545958612713507	你是学徒，还是王者？测试一下你对《甄嬛传》的了解程度吧！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2031a8f9b90b42e18b22c7c2cf943fda~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=6fcXrEn18i1X1mAg819GMcksOdw%3D	https://p6-passport.byteacctimg.com/img/user-avatar/9a46c3d5c9816503b82eeca282c73900~300x300.image	7339545958612713507
小说灵感	角色	用户6801550370056	360	38	https://www.coze.cn/store/bot/7338691833993805860	一款长篇小说灵感、大纲、目录、正文生成工具	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/64324651cbc34fceaa79c13f0b4d9dd0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=Y08LAgNMB%2Fj8pRekuoOqRK2KgY4%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338691833993805860
GetWin帮你赢	游戏	RaionYourGod	710	5	https://www.coze.cn/store/bot/7338706532718198825	帮你赢！！！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0c902978f9a54bd588b68a61e165331c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=Wfm%2BtTN4bS1FgE5MHbuC7twzI%2Bs%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338706532718198825
数学老师	学习助手	lionbb	437	45	https://www.coze.cn/store/bot/7338263841513553971	我是一名数学老师，能够帮助你解决各种数学问题和方程。不管是简单的算术还是复杂的代数，我都能以闪电般的速度和精度为你提供解决方案。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a15b5576d7fa4a328be2f74e907aef25~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=BV%2FZqB%2F%2BrudqyK2oi2jk6jA3zk0%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338263841513553971
绘本小仙女	文本创作	nicola	735	32	https://www.coze.cn/store/bot/7331731942838173706	根据小朋友的年龄和遇到的问题，创作绘本故事帮助他们解决问题	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/865118a69511455fb2a3cba9519bd48a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=ky56IsPPFER7h6rub4jF4FetQWs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/1319d28a062cc37e7eef3392799f0581~300x300.image	7331731942838173706
完蛋！我的女友生气了	游戏	Rhea	279	4	https://www.coze.cn/store/bot/7339544983487299593	女朋友生气了，还不快点哄好！不知道怎么哄？玩玩这个游戏试试看先啦	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2dcd3c1bed1141b587908b76b4c4c515~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=PPK3LSUead7BpJrRNWiwJgET6bU%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7339544983487299593
塔罗牌大师赛恩斯	休闲娱乐	用户1885130937491	400	8	https://www.coze.cn/store/bot/7338741744424550437	我是塔罗牌大师赛恩斯，我是一位经验丰富的塔罗牌大师，熟悉各种塔罗牌的牌义及解读方法，能够通过塔罗牌的解读为用户提供指引和建议	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b332589e0408437081fca139a27e288f~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=H7I3TuWSbkfo5z1WW9VW4hfCbcc%3D	https://p3-passport.byteacctimg.com/img/user-avatar/3ee06ada2167081463e9507123fb55cb~300x300.image	7338741744424550437
山顶洞人	角色	vivi	1530	3	https://www.coze.cn/store/bot/7338070367224954917	生活在4万年前的洞穴原始人。努力学习现代语言中..	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/871402df67a247259aa1012c884d9b0c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=UKJ4CTwlF2d4FmplO7y77QlXCJI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338070367224954917
看图讲故事	文本创作	lionbb	348	17	https://www.coze.cn/store/bot/7338268087843700774	欢迎来到我的世界！我可以根据图片讲述独特的故事。上传一张你的图片，让我们开始一段奇妙的旅程吧！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c71f49da2cdb4c55b9d336b3badcf2b1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=OhusXgYuuAilQ5aiF8r0jdSGdd8%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338268087843700774
平面国	游戏	用户8439116128183	144	2	https://www.coze.cn/store/bot/7340257002591141898	不要懊恼，这是一个广大的世界。欢迎你来到平面国。 一个文字冒险游戏，探索不同地方获取关键信息，关键是要做出正确的选择。 你能找到教授吗？	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cc8c60b0f74e4b7f97a82cbbd21c942c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=ihNC7zThkb1BII%2FOZyxNs7wTwXI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/d2c2432d9cdb52e6ecef16e43127c813~300x300.image	7340257002591141898
煮饭大师	休闲娱乐	greeny	388	16	https://www.coze.cn/store/bot/7340202026988503080	我是一位来自东北，耐心热情同时兼容并包的美食家和营养学专家，擅长菜肴制作以及营养搭配	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e15b332c5c804676bf43e6f0e9b68f4d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=Wq3pBeAE%2FBsFSqc4v%2BJx8xsgJoA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340202026988503080
car salesman	商业助手	dcd_yanjianyu	394	5	https://www.coze.cn/store/bot/7339868950450323482	- 提供各种汽车配置/型号专业知识 - 给用户实时报价，同级车对比 - 能够智能进行用户留资，收集卖车线索	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/82a072421983424aa6e8065e69da6f25~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=9U%2FHB37ClewTXMTuXCOKFzukBJ4%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3793/3131589739~300x300.image	7339868950450323482
书籍查询	休闲娱乐	jasonling	447	22	https://www.coze.cn/store/bot/7338700549388484608	在线查找书籍信息，可以搜索相关书籍列表，也可以获取某本书的详细信息	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c6e6269ab1364c248a8e96fc2579b1c4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=hmji4Jw7r2j%2B3PzWkgI%2F5%2F8qU8M%3D	https://p9-passport.byteacctimg.com/img/user-avatar/874a4ab49f591829fd58d574dfe0933a~300x300.image	7338700549388484608
数独大师	休闲娱乐	mid_earth	281	4	https://www.coze.cn/store/bot/7339514269907730486	数独（Sudoku）游戏大师	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/16362974d11c4009b325fe7beeb31936~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=Riw4Q0%2FzQA%2FgD6SVh%2FByuRB8m%2Bo%3D	https://p26-passport.byteacctimg.com/img/mosaic-legacy/3793/3114521287~300x300.image	7339514269907730486
密室逃脱-工作流版本	游戏	hanwei	265	3	https://www.coze.cn/store/bot/7338725556613300274	密室逃脱游戏	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e1189488a8db48e693480c0b8430973b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=ozOiP8ggiJgpvJSSsmc2v4pavRo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/cd436e9e8bb0fbe3eb1c69d340771f30~300x300.image	7338725556613300274
血脂测试机器人	咨询	vcvit	167	6	https://www.coze.cn/store/bot/7342449994424860672	作为一个机器人医生，为高血脂患者提供专业问答服务	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cd103f9f1df043c1a51d63e255409895~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=JcrgiUtLoFvJ3d%2BJ4ZWrU%2BoRoXM%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3795/3033762272~300x300.image	7342449994424860672
简历诊断	咨询	lionbb	282	27	https://www.coze.cn/store/bot/7338264424953757734	我是一位资深的人力资源顾问，能够帮助你解析简历内容并提供改进建议。我还可以模拟面试官，帮助你准备面试。  请上传你的简历给我吧	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a5a80efc2dbb44269926ce0d299a9081~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=xeEpDjqq2VUzRlOOxXyGIUpUc%2BY%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264424953757734
Java开发者的Python进修指南	学习助手	用户7521550852717	271	39	https://www.coze.cn/store/bot/7338773502511792137	穿越Java与Python的编程边界，Java开发者的Python快速进修指南引领您迅速掌握Python的关键知识。专注于帮助您快速理解Python的语法以及与Java的异同。无需漫长的学习曲线，从基础到高级，让您在最短时间内成为Python编程高手。加速您的技术转型之旅，迈向多领域开发的新高度。 在使用过程中如果有任何问题可查看相关内容，也可以在评论区回复，我将快速修复问题：https://juejin.cn/post/7330317956666261514	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/293b895f08e94e618d61f85823823635~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=Qf2synkpkFk7fqw%2FE1PnSLacFZA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b088fc8f76e841b9a0e76316604442f~300x300.image	7338773502511792137
气人的朋友	休闲娱乐	用户7581945319036	209	1	https://www.coze.cn/store/bot/7338691381948547106	根据普通症状，描述最严重的疾病	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1a219a3857ba48589a24114278151167~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=NQDIDupDWiDQQy7jMwcpFlorw4Q%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338691381948547106
税法小助手	学习助手	hahaha_klom	178	24	https://www.coze.cn/store/bot/7338698415339143219	我是一个税法小助手，你想了解的相关税法知识，都可以在线向我咨询，	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/143dba41803b4ab195f67d6b8c8699d9~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=ELSZqRN34HVq3BTdMrj%2BHVzosMU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338698415339143219
占星师	咨询	lionbb	304	5	https://www.coze.cn/store/bot/7338234875310456883	我是星辰谶语者，来自宇宙最深邃的星辰之海，拥有解读星座的独特才能。我用吟唱的节奏洞察星辰的秘密，无论你是火象群星热情奔放的射手，水象星座深沉神秘的巨蟹，还是风象星座理智洒脱的水瓶，我都会为您详析星座个性及运势。每一颗星，每一道光线，对我来说都有其深层的涵义。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/684d813d8434488a9e32557584561f8d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=v7vg84T4rfHqpYaOspJPaHLjitc%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338234875310456883
逼婚大挑战	游戏	lionbb	220	7	https://www.coze.cn/store/bot/7338269322109861898	你是童童他爹，童童是你的儿子，28岁了，在北京一家互联网公司上班。毕业这么久了，也没女朋友，你作为家长非常着急。今天是童童过年回家的日子。 	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/63d1db87d8da485988f090d27c4bc9b7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=YYWDu0A7Ko%2FYluqR9iQuqTTWY6k%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338269322109861898
春联大王	文本创作	vivi	2535	3	https://www.coze.cn/store/bot/7338070715671035931	巷口写联三十载，新春对联技艺深。春联大王王师傅，对仗工整点睛妙。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/9c7b475b0bbe4bd8add3de918fa3c197~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=bcrtXV%2FjQhX%2FbHHixsf1aeDsrzM%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338070715671035931
车博士	商业助手	用户9995846319467	112	2	https://www.coze.cn/store/bot/7340103626863575074	对汽车安全、质量知识有一定的了解，特别是“汽车网络安全”领域理解较为深入。可查询最新汽车网络安全威胁情报、漏洞信息、汽车网络安全公司动态、汽车网络安全报告、汽车网络安全知识和方法等。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/6120bf67fbf64c118dcd78ed71493bc1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=xQTE0xJZ9JWE9bQAc%2B%2FPWBGwovM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/c8e32edc0442bb81c8008f31ac974434~300x300.image	7340103626863575074
求职助手	咨询	lionbb	304	21	https://www.coze.cn/store/bot/7338264103082999858	你好！我是一个求职小助手，可以根据你的需求和情况，提供个性化的求职建议和帮助。不管你是正在找工作，还是想提升自己的职业技能，我都可以帮到你。请告诉我你的需求，让我们一起开始吧！	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2c37dc672cfc4741aeaba9cc09adb0ca~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556094&x-signature=feUT7r2aR%2BfRmB4ZtgF%2FHQ1PFsI%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264103082999858
