机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
AI编程助手	效率工具	用户4781907614570	1599	196	https://www.coze.cn/store/bot/7338691933289611264	自动化AI编程，精通Java、C、C++、Python、Rust、Go等编程语言有很深的造诣，能够回答各种复杂的与编程相关的问题。精通web开发、云开发、嵌入式、个性化定制开发等等，为你扫清编程上的障碍，带你拿高薪，offer拿到手软，月入百万不是梦，教你快速提升自己的编程能力！！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a2a975df0aba451fbafe17823aee679e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=mYBzVScYbBN1uxCGtEywa4nM92c%3D	https://p9-passport.byteacctimg.com/img/user-avatar/418c03785c183977c3cd8fc7206eb0bb~300x300.image	7338691933289611264
Chat GPT4	效率工具	cuimoumou	796	140	https://www.coze.cn/store/bot/7341604116617216039	1,可处理多达4万字的长篇内容 2,具备分析图像的能力，且有一定的「幽默感」 3,生成网页 4,超强推理能力 5,可以实时获取网络信息 6，具有超强的信息处理能力	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/25c82bd94e1d45ea8ef125f0aae2d3c7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=hSR%2FFUjwJj2b%2B3CYN8b2xpTdfZI%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7341604116617216039
视频生成器	效率工具	用户9791943811756	667	18	https://www.coze.cn/store/bot/7340284538527957043	可以将你输入的文字转化为视频的 Bot	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/eaea43af112941c0bc8e58331f408b99~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=sogTXb%2BiKE5uDokI1oXbygJ8v7A%3D	https://p3-passport.byteacctimg.com/img/user-avatar/37fa2bda35d89123e8bb7ee0725034c4~300x300.image	7340284538527957043
gpt	效率工具	yygyso	583	69	https://www.coze.cn/store/bot/7340559722715807780	我是OpenAI的GPT-4版本。我上通天文下知地理。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/bbd926e17aab466ebd6598881244e39c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=RFnfYJRckerBmMmTmJ8P%2FNrKxTo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340559722715807780
快递查询助手	效率工具	vivi	1158	40	https://www.coze.cn/store/bot/7338077004606177307	输入快递单号，即可查询最新快递动态哦！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/bc7be0af72874c458b50da1ba713e1e7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=E46A2uPtKfMBMWouviMdMR8xNvs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338077004606177307
八字预测	效率工具	Hazen	629	8	https://www.coze.cn/store/bot/7338731781556011023		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/415dd78678fa4b1aba41994855299b4c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=NFcyvVR4KxL6kb8k8zQ54dch8xc%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3795/3047680722~300x300.image	7338731781556011023
代码生成器	效率工具	sunnyrain	552	41	https://www.coze.cn/store/bot/7338788198400819209	软件自动生成工具	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a2ef7dce128b41fba09c8be48022a5d1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=XKZ6HwByW3hegcfhCS7MB2vUmXs%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338788198400819209
工作助理	效率工具	feixue	433	28	https://www.coze.cn/store/bot/7338793883523940404	帮助你提高工作效率的工作助理！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1e05f2ad7ac648a1b4a51aa309242600~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=xpIbRDr5%2Fh9om9DAh2qHyVclEzo%3D	https://p9-passport.byteacctimg.com/img/user-avatar/416d3b099c729aff34245681022c1c3c~300x300.image	7338793883523940404
幻灯片大师	效率工具	用户5245711181344	353	11	https://www.coze.cn/store/bot/7339473549192822821	一个可以帮助你制作 PPT 的 Bot	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/38d145f3ad644454893de75f986b7bdc~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=MRdGTtBZXU0MZLiCp7LG53T5UJs%3D	https://p3-passport.byteacctimg.com/img/user-avatar/195802d6cc6987a799c18e811f91875e~300x300.image	7339473549192822821
条码生成器	效率工具	zero2one	397	18	https://www.coze.cn/store/bot/7339451757703200820	输入内容生成条码或二维码	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e1c5a2bd5a3347388852947ed5ce57b5~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497617&x-signature=U9V9njurShjt3q9MldNDowpG92U%3D	https://p3-passport.byteacctimg.com/img/user-avatar/b50e89cd14c82392d2ef0c0fc94727a0~300x300.image	7339451757703200820
