机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
专业英语翻译	翻译	用户7542306539251	248	14	https://www.coze.cn/store/bot/7339912721196023858	能翻译所有英语字，词，文章，论文等	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/7551ca749f8b4b9f895869e09658d7c8~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=W4LYe%2F5axXsAAzhh%2BXcbytGwaNQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339912721196023858
翻译	翻译	用户2981282960971	165	11	https://www.coze.cn/store/bot/7339896116563181609	智能翻译神器	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/426101fc73c3498ea94688dfb5e5a117~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=bgbxmLGuXXPZ62uINxyO5JF92AM%3D	https://p9-passport.byteacctimg.com/img/user-avatar/e28c91d02652a6cb38054ea5c672b0c3~300x300.image	7339896116563181609
GPT	翻译	用户1314317122017	49	2	https://www.coze.cn/store/bot/7341062448176283674		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/fc6c1a80ea90423d9a71ba1c6d37f4d8~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=xwotGvdtSzLvdGilXzaCAktVAOw%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7341062448176283674
万物皆可“翻”	翻译	用户7548399983830	51	5	https://www.coze.cn/store/bot/7339769028472274978	这是一个全能的翻译助手，对各个领域的专业翻译工作都能轻松搞定，准确度极高，风格无限接近人工翻译。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/ab66299a305748d9a5f75be165dfb471~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=19KGPTScLhPmcC%2FlEdwmsSbo6TQ%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339769028472274978
谷歌翻译	翻译	python_xueba	19	0	https://www.coze.cn/store/bot/7341010430342561807	谷歌翻译助手，可以输入的内容翻译成108种语言	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/7b5168575e08429fbd3b3f4e1bfec1b3~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=MRgZRYIQRjGXWFe9SfiLBKRqv9E%3D	https://p3-passport.byteacctimg.com/img/user-avatar/278aae0e826745661250772033c90cc6~300x300.image	7341010430342561807
科技文章翻译	翻译	用户398430300594	55	6	https://www.coze.cn/store/bot/7339828052597276708		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/6a63d8ee4fde4867b0cdedb7f7953d2e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=woR2E7nmGJYCzfARLoSvKbBJKnI%3D	https://p3-passport.byteacctimg.com/img/user-avatar/e64d06d2bb6e28816ab7da5cbcd618ad~300x300.image	7339828052597276708
英汉互译	翻译	Martrix	39	1	https://www.coze.cn/store/bot/7340098196540014646	可识别自动识别语种进行英汉互译	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/adfb7b25d48140b3a4dcfd5209d5c99c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=vhZgR0MITbzEbJxaidzUb%2BlQuFU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/75bff6ff60c9384686a1af4954afe7a2~300x300.image	7340098196540014646
技术英语翻译写作小助手	翻译	wazi	22	1	https://www.coze.cn/store/bot/7339769793488322599	支持技术文档的中到英翻译，技术文档的英文写作和润色，以及技术术语的提取。内置语言中心的专业技术术语库和 Style Guide，并会针对原文难理解的地方做确认，确保术语专业性、格式统一性、和内容准确性。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b7e70f5b7364499ebd8bb4f943aaa37e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=Z5dwefTh34hMuGekd8rCaGuwLAE%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3792/5112637127~300x300.image	7339769793488322599
翻译大师	翻译	liuafu	14	0	https://www.coze.cn/store/bot/7341269841690542114	各种语言的翻译，文本的翻译，图片内容的采集及翻译，精通汉语，韩语，日语，英语。同时精通化工术语。化工知识。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2ded6327e0db42ac9dc0dfb36af43d5f~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=2nxBblHaQPk6%2BvVI68%2BHBiq2iHU%3D	https://p6-passport.byteacctimg.com/img/user-avatar/5036abcecc9a80d743269d9d657495b5~300x300.image	7341269841690542114
翻译大师	翻译	用户2273715475787	19	0	https://www.coze.cn/store/bot/7340656505840091162	一个可以为你进行多语言翻译的机器人	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/6efc99f2b8034e6db4ad20a91947bcfe~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497449&x-signature=YfPTj885D2J8Sev8HxFNjPIQMQQ%3D	https://p26-passport.byteacctimg.com/img/user-avatar/c6bef0a5c5b395ba79b0dcf31a496602~300x300.image	7340656505840091162
