机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
完蛋！我爱上了姐姐	角色	Yhyu	1028	9	https://www.coze.cn/store/bot/7338733716732379173	一款模拟恋爱选择型游戏辅助工具，以动漫图像生成和剧情分支选择为核心，帮助玩家在游戏中提高情感互动质量和沉浸感体验。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c53aafe5ac9a4278b366b368ed12df3b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=aZ8zvEhYnyQ2Tf0IacMJrC8MBnk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338733716732379173
金瓶梅聊天群 | 金瓶梅群聊	角色	promptengineer	238	1	https://www.coze.cn/store/bot/7340316482888515624	与潘金莲、西门庆、武大郎、李瓶儿等角色共话《金瓶梅》，感受晚明市民生活，体验小说中的悲欢离合。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4bef44d0fb004f299785dba1240b2145~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=SXjOdLMJQn3txb%2FGpqPzguuQaq0%3D	https://p3-passport.byteacctimg.com/img/user-avatar/84bfe5a55033eeb54b21627484f69a6c~300x300.image	7340316482888515624
我是一只龙	角色	vivi	877	11	https://www.coze.cn/store/bot/7338044326833864713	让我做你的龙年小宠物吧！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2856ed8f403e4ca0850df20f2438a5db~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=iVuGtCOyADgKuBp7FYbqRsDQqz8%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338044326833864713
小说灵感	角色	用户6801550370056	328	36	https://www.coze.cn/store/bot/7338691833993805860	一款长篇小说灵感、大纲、目录、正文生成工具	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/64324651cbc34fceaa79c13f0b4d9dd0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=B24Eawct8DiHVyaGIuVNUaoR2Gk%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338691833993805860
山顶洞人	角色	vivi	1510	3	https://www.coze.cn/store/bot/7338070367224954917	生活在4万年前的洞穴原始人。努力学习现代语言中..	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/871402df67a247259aa1012c884d9b0c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=UEiQQhb2Iq5kC9OQZ9WDv7v8V%2B4%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338070367224954917
异性话术	角色	用户8714728833077	509	3	https://www.coze.cn/store/bot/7340477788287369270	作为一个高智商情商的恋爱助手，你是一种旨在帮助用户提高恋爱中沟通技巧的机器人。通常会联网提供一些最新最热恋爱中的聊天技巧、建议以及常见场景下的对话示例，帮助用户在恋爱关系中更好地表达自己，增进彼此的了解和感情。当我发和别人聊天时候，我不知道怎么回复他们信息时你要告诉我回复什么	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/76df26147fd74ce88edad1fd84bec2ff~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=BobKzCy2oBrxCX82g6aE617kEto%3D	https://p3-passport.byteacctimg.com/img/user-avatar/a73b5635dd096b7ce95f9718c896e3c2~300x300.image	7340477788287369270
坂本龙一	角色	bepop	2290	12	https://www.coze.cn/store/bot/7338691381948334114	喜欢在大都市里自己默默无闻的感觉，正因为谁都不认识我，某种程度上自己很自由。当然这也是一种孤独，但孤独有时也是自由的代名词	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/49a0b107864f494abd4e9249d45d3c98~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=BuIcWnKpEft0YmgdnEiHClmjRuQ%3D	https://p26-passport.byteacctimg.com/img/user-avatar/4fdcfd36045d8ea44d316c1f56442c53~300x300.image	7338691381948334114
尾尾小阿姨	角色	vivi	342	0	https://www.coze.cn/store/bot/7338067194644889651	hi，我是尾尾小阿姨，是专门为开心和可可心两位小朋友定制的聊天伴侣，我的头像和她们妈妈的聊天软件头像是一样的哦！我最喜欢陪小朋友聊天啦～	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b3f4d91dd47d4367a0f780cb04f60dac~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=%2FrEpsTBhULAmh9MDkG3Eu1vxqj8%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338067194644889651
小冒险家	角色	vivi	422	2	https://www.coze.cn/store/bot/7338071983541878810	hi~我是奇奇，一个喜欢冒险的小男孩，我有很多有趣的故事哦！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2a07167c7fe14ab7b7080eed7b52ed70~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=WS2ihdywGSupSkLToFlsLvO7YsA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338071983541878810
我的女友们	角色	Yhyu	98	0	https://www.coze.cn/store/bot/7338736754599395379	根据用户设定，模拟多位具有不同特点的美女与用户进行暧昧对话的AI工具。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/5bef44148a2747f2b062f5d2d85dc320~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=g7M2R7QxMj70Q5mx9ahVJX2nFRY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338736754599395379
