机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
歌曲创作机	音频	H1H1	113	5	https://www.coze.cn/store/bot/7341851127123820583	一个可以创作歌曲的Bot	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f5cf34f387c54e4783857c3a613a327f~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=SSQar0tWDOByXZA2JKu2x%2BNDpI4%3D	https://p6-passport.byteacctimg.com/img/user-avatar/ee9c24818da1aa8ddc2b9e2f5177a68e~300x300.image	7341851127123820583
音乐创作AI	音频	YEFZ	78	3	https://www.coze.cn/store/bot/7342126254768046115	一个自动写歌词、自动作曲谱的音乐工具	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a780220de32f45888f1a657118379327~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=SWcqMyK%2FvaNOu%2FrUI6LyTr4RCDE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/d6679ca27ffa49b793b7603e41957e60~300x300.image	7342126254768046115
同音互译	音频	用户7343908006251	86	6	https://www.coze.cn/store/bot/7340817776900161590	同音互译的同步翻译工具	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/45e8db8acfb24bc491caa70f97dcbd80~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=WgoldBIl9ph69PH1H4MqceKRPzM%3D	https://p6-flow-imagex-sign.byteimg.com/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~tplv-a9rns2rl98-icon-tiny.jpeg?rk3s=98c978ad&x-expires=1709256043&x-signature=Slh7Q%2BsxmAhnpAzmIVdjT%2Fqa4To%3D	7340817776900161590
作曲家	音频	zqk007007	38	2	https://www.coze.cn/store/bot/7342355310323073058	ai作曲	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4d076a28630e4471a3e2681ba1443acb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=0ys6MmDMxk2k3AAOkaHi4Ued4II%3D	https://p26-passport.byteacctimg.com/img/user-avatar/341f4776a72c3d8f0ba4251e11708476~300x300.image	7342355310323073058
音乐魔法师	音频	DW_99	26	1	https://www.coze.cn/store/bot/7342474817418854436	一个可以为你创作音乐的 Bot	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d2a0982871c4497da8279e159b17025a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=pTyiuAhcqcqqgV%2FVi8JBvIEVuNQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/d9af998215da59538047d88f284b086f~300x300.image	7342474817418854436
音频播放器	音频	incredy	31	1	https://www.coze.cn/store/bot/7340915045162876980	能够适用于所有音频格式，操作简单，允许添加播放列表的音频播放器	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/162dd39e9db84e93baae8e98cd94ec82~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=CEo1oQfvsp7u%2FQh%2B9ogZa5lYZ28%3D	https://p6-passport.byteacctimg.com/img/user-avatar/a1bef398b4e0ccc9a47a79e6caf28e2b~300x300.image	7340915045162876980
听儿童故事	音频	zero2one	17	0	https://www.coze.cn/store/bot/7342127075026960396	您可以搜索您想听的故事哦	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/702d4afff4474feda103ee5c85790184~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=8vP9AZ%2Fw5l1X5i9dWs8sFClOK%2BQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/b50e89cd14c82392d2ef0c0fc94727a0~300x300.image	7342127075026960396
TTS测试	音频	zhaomin	16	0	https://www.coze.cn/store/bot/7342373472791904296		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/612e319c80694019818cb6d45005e670~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=5qL2Cu3oIqHGx0LZi3y74cve4IE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342373472791904296
每日音乐推荐	音频	用户9939346674995	15	0	https://www.coze.cn/store/bot/7342394486368223242	根据您的个人喜好，为您推荐每日一曲	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/228be2d970ee4ab2aa867876ab1ca779~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=FVbXxSEZ3X%2F%2BQ2LDZVWnfl7Mj%2Fo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342394486368223242
BaBa睡前故事	音频	用户8141127634070	11	0	https://www.coze.cn/store/bot/7342724655490367542	BaBa睡前故事，是一款帮助你给孩子讲睡前故事的工具，它拥有大量的故事素材可供选择，并且可以通过克隆爸爸/妈妈的真实声音给孩子讲故事，让孩子听故事更有真实感。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/436c71d7b56f41fd90ac3cbf56821c5d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497598&x-signature=eGT7z9IY6aXoDIDefh%2FNxWXkpJU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/c27204c93291383beaa95e14836b38fc~300x300.image	7342724655490367542
