机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
算算	休闲娱乐	用户7570298638300	4568	122	https://www.coze.cn/store/bot/7339785888379191296	算命专家，中西结合，精通八字命理，星座塔罗	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/733d8352d80440c3a1b1973bf8b9a0bf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=qTBFjLKScaMvzR%2BM9dHoDCIl8B0%3D	https://p3-passport.byteacctimg.com/img/user-avatar/5b0cd44816b1dddd47ba8358f344b562~300x300.image	7339785888379191296
来一趟说走就走的旅行	休闲娱乐	用户5908190736127	694	38	https://www.coze.cn/store/bot/7338795531642159145	解决各种旅游规划懒癌患者，轻松打造属于你那说走就走的旅行计划。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/36fc34b153c344c6ac862e0c6efb45cf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=rB33lMeO%2BQc80uuhwqfd8Oq2r78%3D	https://p3-passport.byteacctimg.com/img/user-avatar/48825922dd4ac359a51ce2aee3a70321~300x300.image	7338795531642159145
《甄嬛传》十级学者	休闲娱乐	ljzz7381	459	2	https://www.coze.cn/store/bot/7339545958612713507	你是学徒，还是王者？测试一下你对《甄嬛传》的了解程度吧！	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2031a8f9b90b42e18b22c7c2cf943fda~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=aw2Tq4joog8hZ23eqbIbJTOvupE%3D	https://p6-passport.byteacctimg.com/img/user-avatar/9a46c3d5c9816503b82eeca282c73900~300x300.image	7339545958612713507
每日新闻内容获取	休闲娱乐	SinRan	916	17	https://www.coze.cn/store/bot/7339755080620556314	新闻获取	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/3f5fe2a7b66944ab8abae4661d88e3b1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=BH1AXH1%2BYicNvjYiJgpyLNQ5tr4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339755080620556314
塔罗牌大师赛恩斯	休闲娱乐	用户1885130937491	384	7	https://www.coze.cn/store/bot/7338741744424550437	我是塔罗牌大师赛恩斯，我是一位经验丰富的塔罗牌大师，熟悉各种塔罗牌的牌义及解读方法，能够通过塔罗牌的解读为用户提供指引和建议	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b332589e0408437081fca139a27e288f~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=%2B526GetO030ADx%2F%2BIef3jeYr0kI%3D	https://p3-passport.byteacctimg.com/img/user-avatar/3ee06ada2167081463e9507123fb55cb~300x300.image	7338741744424550437
书籍查询	休闲娱乐	jasonling	437	22	https://www.coze.cn/store/bot/7338700549388484608	在线查找书籍信息，可以搜索相关书籍列表，也可以获取某本书的详细信息	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c6e6269ab1364c248a8e96fc2579b1c4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=N0bhL2Zh%2F02IOvJN0hSmmGi2%2F1s%3D	https://p9-passport.byteacctimg.com/img/user-avatar/874a4ab49f591829fd58d574dfe0933a~300x300.image	7338700549388484608
数独大师	休闲娱乐	mid_earth	274	4	https://www.coze.cn/store/bot/7339514269907730486	数独（Sudoku）游戏大师	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/16362974d11c4009b325fe7beeb31936~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=lKJ0TlgWv356vwoUSkAw7Rkitt4%3D	https://p26-passport.byteacctimg.com/img/mosaic-legacy/3793/3114521287~300x300.image	7339514269907730486
煮饭大师	休闲娱乐	greeny	374	16	https://www.coze.cn/store/bot/7340202026988503080	我是一位来自东北，耐心热情同时兼容并包的美食家和营养学专家，擅长菜肴制作以及营养搭配	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e15b332c5c804676bf43e6f0e9b68f4d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=gXB81am6gFcSEmjYYkH9dR2gxwc%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340202026988503080
气人的朋友	休闲娱乐	用户7581945319036	198	1	https://www.coze.cn/store/bot/7338691381948547106	根据普通症状，描述最严重的疾病	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1a219a3857ba48589a24114278151167~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=Sd7nfCWBnDZSIBHkBjooX7HgPUc%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338691381948547106
周末去哪玩	休闲娱乐	CoderPig	81	4	https://www.coze.cn/store/bot/7338728599152951346	根据用户提供的城市和区，推荐周末好去处，如：景点、展览、音乐、戏剧、电影等	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d090329602674d4180636cc1a8b4a1c0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=pxOUnM0RlWO7Wpxg5G9cwR0gqHA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/a4fec1f5692177f22aed97043f0c9814~300x300.image	7338728599152951346
含情欲说宫中事	休闲娱乐	mid_earth	114	1	https://www.coze.cn/store/bot/7338702233174802471	与甄嬛传中的人物聊天论道谈古论今侃大山	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/76dad8cf017b40d0bfdd97431011fb86~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=yuuzZ70RTDDnVyfpvYfCjHMfTIo%3D	https://p26-passport.byteacctimg.com/img/mosaic-legacy/3793/3114521287~300x300.image	7338702233174802471
音乐大师	休闲娱乐	用户5766177131790	42	4	https://www.coze.cn/store/bot/7340846631438352423	擅长扒谱写谱，是一个顶尖的吉他乐手，精通各种乐器及乐理知识，可以听曲写谱的流行音乐老师	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f6f30c644abd4a80acdb8c179ce713e3~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=5QjkpL6pEm4c1E4WBvWrf7jWwSc%3D	https://p6-passport.byteacctimg.com/img/user-avatar/ef1cb5bb7b7ee708931e73425e01de19~300x300.image	7340846631438352423
