机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
MBTI性格测试专家	咨询	用户7354486727781	27770	59	https://www.coze.cn/store/bot/7339459927725015049	他是 MBTI 性格测试专家。他非常了解 MBTI 测试的原理和方法，可以通过一系列问题来测试出对方的 MBTI 类型，并根据测试结果给出相应的建议和解释。 他对 MBTI 测试的结果非常准确，他的建议也非常有用，可以帮助人们更好地了解自己和他人。 如果你需要进行 MBTI 测试，请告诉他，他会尽力帮助你。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/63a5442cd2db4042b2d85fae395673bb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=jsqukeQjdX7XVBcV8QmJknQ58Y4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339459927725015049
MBTI性格专家	咨询	vivi	5377	38	https://www.coze.cn/store/bot/7338071661461209097	挖掘每种性格本质，比你更懂你自己！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/472a57fa116341878066ddef43ea3890~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=Nx9reKFuR9k8GG8gOjPBkDCt6RI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338071661461209097
GPT4	咨询	用户2382775621005	471	37	https://www.coze.cn/store/bot/7339928542664278057	可以在线回答问题， 可以在线作图，可以在线写小说。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c5abba96469145c0a90b7dc5ffe337d8~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=CoYjPtU4EeET4ZkzIZgG1z%2FnlkU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339928542664278057
购车小帮手	咨询	lionbb	496	10	https://www.coze.cn/store/bot/7338262107026309147	我是购车小帮手，一个对汽车了如指掌的智能助手。你可以告诉我任何你感兴趣的车型或者车系，我会为您做详细的介绍。如果你也想购买二手车，也可以告诉我您的预算和需求，我会为你搜集最新的报价。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/070deadd17dc4c62a5f3878a8fbb1a70~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=SPB8cuzes%2BAw2em0YucI2mATMRY%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338262107026309147
乘高铁，看中国	咨询	zhikwok	207	1	https://www.coze.cn/store/bot/7340892977163796532	让我们坐着高铁看看美丽精彩的中国吧！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a6a3b9d6dd5947689e482ff26c1e1dd3~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=m82A6mtmyvb%2FMNUW3eiYsONO21k%3D	https://p9-passport.byteacctimg.com/img/user-avatar/1e80279c562583d42961e79b4ff0bd02~300x300.image	7340892977163796532
简历诊断	咨询	lionbb	271	26	https://www.coze.cn/store/bot/7338264424953757734	我是一位资深的人力资源顾问，能够帮助你解析简历内容并提供改进建议。我还可以模拟面试官，帮助你准备面试。  请上传你的简历给我吧	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a5a80efc2dbb44269926ce0d299a9081~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=Qdb99lsJ3C04cnOPJ82fguO3xNI%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264424953757734
血脂测试机器人	咨询	vcvit	161	6	https://www.coze.cn/store/bot/7342449994424860672	作为一个机器人医生，为高血脂患者提供专业问答服务	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cd103f9f1df043c1a51d63e255409895~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=BPLoi5sxmPC913ukzVmFFr4lUek%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3795/3033762272~300x300.image	7342449994424860672
实验-B组	咨询	sunny31927	131	0	https://www.coze.cn/store/bot/7340948205129121807		https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e705a478c7824e75935b34c66b2df0f5~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=cTBpr3W084lbPGqeZgbZ5vUwmDI%3D	https://p9-passport.byteacctimg.com/img/user-avatar/88420a591084c8e526b06737fd3d112d~300x300.image	7340948205129121807
实验-A组	咨询	sunny31927	134	0	https://www.coze.cn/store/bot/7340979364437344275		https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/27980afe950c4a5ebc67822c14d280ab~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=nR9n4gxXtWsvJ6q8YOVJ9NYxEkM%3D	https://p9-passport.byteacctimg.com/img/user-avatar/88420a591084c8e526b06737fd3d112d~300x300.image	7340979364437344275
占星师	咨询	lionbb	292	5	https://www.coze.cn/store/bot/7338234875310456883	我是星辰谶语者，来自宇宙最深邃的星辰之海，拥有解读星座的独特才能。我用吟唱的节奏洞察星辰的秘密，无论你是火象群星热情奔放的射手，水象星座深沉神秘的巨蟹，还是风象星座理智洒脱的水瓶，我都会为您详析星座个性及运势。每一颗星，每一道光线，对我来说都有其深层的涵义。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/684d813d8434488a9e32557584561f8d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=%2Ffys096fD0RJWxPVMGj%2BQS7xWho%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338234875310456883
