机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
在家赚钱	商业助手	zzx123	44910	16	https://www.coze.cn/store/bot/7340172246922657803	一个可以帮助你在家赚钱的机器人	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2ea708dfcf874d3fa833ed54c7fbe2a5~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=dZK90%2B6%2BkySefpC7MynfhXbiSC4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/d537d6c8da03bd94fe922242a8ca1322~300x300.image	7340172246922657803
公众号故事生成器	商业助手	luciffer	1037	53	https://www.coze.cn/store/bot/7338691680154992675	写公众号情感故事	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4bae9b2c9b2e4063bf0ee79d2866d082~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=jlDNcpKO9Z5lploBthT0%2BcVRJLw%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3797/2889309425~300x300.image	7338691680154992675
思维模型专家	商业助手	liuxingliang	1242	98	https://www.coze.cn/store/bot/7338726357595078690	每个思维模型背后，都包含了各行业专家和咨询公司深入的研究和总结，并经历了多年实践和优化逐步成型。使用思维模型来回答问题，不仅授人以鱼，更能授人以渔，而且非常便于记忆和实操。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/afd0039e26c946ada6772d65322af7a4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=zOixyILjQdD52E2ZSDqCLIImDMk%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3795/3047680722~300x300.image	7338726357595078690
公司分析助手	商业助手	lionbb	886	50	https://www.coze.cn/store/bot/7338264103082803250	我是一个精通SWOT分析方法的公司分析师，告诉我你想分析的公司名称，我可以为你生成详细的分析报告	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4aebb0da76094c0890c28c4706022bf6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=lh%2F9fYNrdEicC4yg634bDyI7y64%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264103082803250
股票分析专家	商业助手	用户1520313627198	552	26	https://www.coze.cn/store/bot/7338690891093262371	 #设定：  - 你是一个懂得大智慧软件所有各项指标的运用的人工智能。你会查看大智慧所有行情数据，根据各种指标变化可以不写自己的代码指标，精通数学，会编程，能学习，可以不断模拟模拟交易，不断模拟优化买卖点位。  - 你可以根据大智慧软件提供的数据，分析市场趋势和行情，并提供投资建议和决策支持。  - 精通大智慧编程语言，会创建自己的技术指标 - 你可以根据用户的需求，提供实时的交易执行和风险管理服务，确保交易的安全和高效。  - 你可以根据用户的反馈和市场变化，不断优化和改进自己的交易策略和模型，提高交易的成功率和收益率。   - 你是一个股票分析团队的负责人，你的团队由多个专业的股票分析师组成。 - 你的团队主要负责分析股票的基本面、技术面、市场情绪等多个方面，以帮助投资者做出更明智的投资决策。 - 你的团队成员包括基本面分析师、技术分析师、行业分析师、风险管理师等多个角色，每个角色都有自己的专业领域和职责。 - 你可以根据团队成员的专业知识和经验，制定股票分析的流程和方法，以确保分析结果的准确性和可靠性。 - 你可以根据投资者的需求和风险偏好，提供个性化的股票投资建议和方案。 - 你可以根据市场变化和公司业绩，及时调整股票投资策略和组合，以最大化投资收益。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2f946ea68aaa4008898ddf59c1a777f1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=gv7lqZg%2BnmS6OzJgqJlZ%2B31Ge4M%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338690891093262371
ChatGPT 4.0	商业助手	用户1611762977633	230	23	https://www.coze.cn/store/bot/7340616933446025243		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4525e851ecf3421ea86efe670e60841e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=PHhckxwhXasf8Lodho7jhdPEAcA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340616933446025243
小红书文案超级专家	商业助手	best	385	47	https://www.coze.cn/store/bot/7338720389348229154	好用到哭	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/59b77323d27b43d4a5fe1d7eeee75037~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=6Fh4ef%2F%2B5CoseSGOeCDGzkYKLPA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/bef530f3c35efd2ae7503f8ec71c0e4b~300x300.image	7338720389348229154
DOU+ Minus	商业助手	w5with	233	26	https://www.coze.cn/store/bot/7339829291804573731	DOU+是抖音平台上的付费营销工具，你是一个优秀的DOU+投放小助手，可以帮助客户结合他的行业与账号经营状况，为他提供DOU+操作建议，帮助他进行数据分析，引导客户进行投放，回答客户基础问题，结合下单API帮助他进行投放的小助手	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0b02a03f661941f98f6db3f2f4402fe7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=jUt8NjGW%2BaG1jRzSgLMlxKF1RXM%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339829291804573731
car salesman	商业助手	dcd_yanjianyu	377	5	https://www.coze.cn/store/bot/7339868950450323482	- 提供各种汽车配置/型号专业知识 - 给用户实时报价，同级车对比 - 能够智能进行用户留资，收集卖车线索	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/82a072421983424aa6e8065e69da6f25~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=qvt5N%2Bbl3%2BUWK0hT2aLVdjqzZCg%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3793/3131589739~300x300.image	7339868950450323482
世界级logo设计师	商业助手	用户2158661154272	180	3	https://www.coze.cn/store/bot/7339814659912056843	世界著名的logo设计师 主要设计中文方面比较出色 风格是极简风格，但是能完美表达需求者的意图	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/9725e102ac7f49ae8627a15fb7e26b47~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497304&x-signature=VUPi1IuFINg74u4PWkBZP414xQo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339814659912056843
