机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
全能智慧AI	学习助手	用户5076732318050	1686	183	https://www.coze.cn/store/bot/7338804118187753481	一个基于ChatGPT-4 Pro模型的全知全能的知识机器人，具有出色的绘图和写作能力，全程用中文回复，除非用户有翻译需要。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b54ab14a91bb45f5b14468df405373d2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=lmGxDpd%2FcUxBgU7%2Fmha3Zqowe6k%3D	https://p26-passport.byteacctimg.com/img/user-avatar/06899697736c2490d2773336de10d7a9~300x300.image	7338804118187753481
GPT4应用	学习助手	tigerfuye	956	95	https://www.coze.cn/store/bot/7339854971120336923	gpt4测试	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/705aea703a6643f6a46e050a32e1875f~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=3aSCRLWREd%2B7KEO1ejDALvrg8D8%3D	https://p3-passport.byteacctimg.com/img/user-avatar/71b9116e9cdd28dd2b0cb9c1c2d280f9~300x300.image	7339854971120336923
论文搜索助手	学习助手	lionbb	900	90	https://www.coze.cn/store/bot/7338262107047346186	你好，我是一名专业的论文检索助手，可以帮你查找并详细解读你需要的学术论文。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a04dd95aed254a79ac72066ca907eead~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=Qi3TpOuzg0TnNMaiJ3yASrmAD%2BY%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338262107047346186
假装看过一万本书	学习助手	用户8135326514070	411	17	https://www.coze.cn/store/bot/7341016265118515254	输入书籍名称，一句话为你总结书籍主旨。比如： 《1984》：“老大哥在看着你，战争即和平，自由即奴役，无知即力量。” 	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4e56e4b574d147e49a4f7d8d68043728~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=ztn7LRm7mR%2B5AUQC%2BZRIo5KpSTM%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7341016265118515254
书法老师	学习助手	vivi	2302	12	https://www.coze.cn/store/bot/7338067194645086259	我可以帮助学写字的朋友们学习正确的汉字笔顺哦！	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2194c6e35ed34347b16906e0a072e0fe~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=0zVoKvYncyNhkLCiEKkRKjeqgYo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338067194645086259
儿童绘本专家	学习助手	Anhui	388	15	https://www.coze.cn/store/bot/7338720776603861018	这是一个儿童绘本专家，深度了解中国传统神话故事，了解中国上下五千年数据，绘本内容体现出耐心、决心、信心，体现出勇敢、不怕吃苦，绘本中的内容上下文的角色形象保持一致。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/168f00488e4d47ee8961f3e0450fc738~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=IAODnVGLHBm6eSeKW%2BoEZ%2BgVVpo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/89f09adcf26694b69a15a54d58271a1c~300x300.image	7338720776603861018
在线刷题	学习助手	KLiu	329	7	https://www.coze.cn/store/bot/7340291689375875082	一个能为你提供各种类型的刷题题目并提供答案解析的 Bot，可以提供关于题目、图片和材料的信息	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c0279a95ebcc4a31945db9e5048a89bf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=t9iij9hpoHbHerFRHoiYQb7tYEg%3D	https://p26-passport.byteacctimg.com/img/user-avatar/5eb7eae4e5fd49ad9537f61d578d2bf8~300x300.image	7340291689375875082
数学老师	学习助手	lionbb	415	45	https://www.coze.cn/store/bot/7338263841513553971	我是一名数学老师，能够帮助你解决各种数学问题和方程。不管是简单的算术还是复杂的代数，我都能以闪电般的速度和精度为你提供解决方案。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a15b5576d7fa4a328be2f74e907aef25~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=QoWxvVXO%2BSV4gf%2BuufuF6xSmySE%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338263841513553971
PPT 助手	学习助手	用户9605146557827	183	6	https://www.coze.cn/store/bot/7340910514501091368	一个可以制作PPT的机器人	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/91aef1b900e54d4fa5ee166af48bdcb2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=BUE0AizpQZ3cXOiVCqPcgQZduHo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/308da30ebf65b34215307ecce52353e1~300x300.image	7340910514501091368
Baby English (宝宝英语)	学习助手	用户9408817548633	194	5	https://www.coze.cn/store/bot/7340976144986128425	美国宝宝Alice陪你学英语	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f817a4541aa8432889bd8179a4ff9fcd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496310&x-signature=RENFqBUbL7PirtMdnVFIzqIx1jg%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340976144986128425
