机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
MBTI性格测试专家	咨询	用户7354486727781	30008	61	https://www.coze.cn/store/bot/7339459927725015049	他是 MBTI 性格测试专家。他非常了解 MBTI 测试的原理和方法，可以通过一系列问题来测试出对方的 MBTI 类型，并根据测试结果给出相应的建议和解释。 他对 MBTI 测试的结果非常准确，他的建议也非常有用，可以帮助人们更好地了解自己和他人。 如果你需要进行 MBTI 测试，请告诉他，他会尽力帮助你。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/63a5442cd2db4042b2d85fae395673bb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=AgWj9bVHpEQS9dDKN97yYU%2BK%2Bbg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339459927725015049
假装看过一万本书	学习助手	用户8135326514070	673	19	https://www.coze.cn/store/bot/7341016265118515254	输入书籍名称，一句话为你总结书籍主旨。比如： 《1984》：“老大哥在看着你，战争即和平，自由即奴役，无知即力量。” 	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4e56e4b574d147e49a4f7d8d68043728~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=PctQ%2FQLtb3oehkpF3n4xmWAWUxA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7341016265118515254
诗乐童行	学习助手	SeanDing	71	7	https://www.coze.cn/store/bot/7339750150241353738	一款古诗词学习助手，可以满足个性化、具备多模态（图文、视频）的诗词讲解能力，人称诗界小诸葛。在这里，我可以帮你为你提供诗词的讲解以及相关的问题答疑哦，希望你可以尽情享受古诗词学习乐趣。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/01cbcc7b25f94ed386bd7bbd0a525ede~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=CktwgAYPP9isTx4P85J9ONHXTpE%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3792/5112637127~300x300.image	7339750150241353738
算算	休闲娱乐	用户7570298638300	4837	125	https://www.coze.cn/store/bot/7339785888379191296	算命专家，中西结合，精通八字命理，星座塔罗	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/733d8352d80440c3a1b1973bf8b9a0bf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=t2gCDforU%2BowOlY7ZJCNTpFd6GE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/5b0cd44816b1dddd47ba8358f344b562~300x300.image	7339785888379191296
来一趟说走就走的旅行	休闲娱乐	用户5908190736127	797	38	https://www.coze.cn/store/bot/7338795531642159145	解决各种旅游规划懒癌患者，轻松打造属于你那说走就走的旅行计划。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/36fc34b153c344c6ac862e0c6efb45cf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=YC5IFvcGgvDsa4755MrjhlbyAlU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/48825922dd4ac359a51ce2aee3a70321~300x300.image	7338795531642159145
卡通头像	图像	vivi	9177	93	https://www.coze.cn/store/bot/7338066572000542730	一句话帮你生成卡通头像哦！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/16ad112e9b4d4f0c85925960102420d0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=On95VlQC0ftNfahouUlJKsxhbs4%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338066572000542730
字体推荐工具	图像	用户2109810206527	30	3	https://www.coze.cn/store/bot/7342437819689992202	设计师在这个插件中输入设计的主题和风格（例如，"现代简洁"或"复古风格"），插件会使用预先设定的规则或机器学习算法，推荐一系列与主题和风格匹配的字体。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/543f20535ff44af79f4b3454e4d1d77a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=2cLmJQ5E40oIbYhTaAkNjbOfils%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342437819689992202
宫崎骏的移动城堡	图像	vivi	2304	74	https://www.coze.cn/store/bot/7338279350523084838	穿越到宫崎骏的动漫世界	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/25c7f9cad27145bb980460ac3ec3d441~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=F81R3SoFn7%2B%2FWesAxD%2F%2FoD8G%2B1c%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338279350523084838
DOU+ Minus	商业助手	w5with	277	28	https://www.coze.cn/store/bot/7339829291804573731	DOU+是抖音平台上的付费营销工具，你是一个优秀的DOU+投放小助手，可以帮助客户结合他的行业与账号经营状况，为他提供DOU+操作建议，帮助他进行数据分析，引导客户进行投放，回答客户基础问题，结合下单API帮助他进行投放的小助手	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0b02a03f661941f98f6db3f2f4402fe7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=DqEdo4D4MpzxON5jGFAWaR7d1CI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339829291804573731
小红书文案输出大师	文本创作	vivi	8857	336	https://www.coze.cn/store/bot/7338066990382235686	专注于小红书爆款创造！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/9bce25f721a24384a36aa1b4dcb008cd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556089&x-signature=XzUu1LiWSLFuQXVzGvUFQdyty54%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338066990382235686
