机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
gpt4.0	文本创作	czy714	2440	247	https://www.coze.cn/store/bot/7339527956802371621		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1176b0576f3f477e8d1181bd4e0b8eb5~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=1NwpN7HGCEuiA03085vqRk3GxVQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/86acde7f3f7b5c523679bd2452902184~300x300.image	7339527956802371621
小红书文案输出大师	文本创作	vivi	8664	327	https://www.coze.cn/store/bot/7338066990382235686	专注于小红书爆款创造！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/9bce25f721a24384a36aa1b4dcb008cd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=Iu9Yj%2B7SyPYPEJmdIly456AP8xk%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338066990382235686
周报不用写	文本创作	vivi	3065	83	https://www.coze.cn/store/bot/7338069813698396211	自动形成周报	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a1339d1ad29240ccb275f48e8bed9fe6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=DxGrYRnSuKfsLXlFIQCL7fJd6xY%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338069813698396211
抖音爆款热门文案助手	文本创作	abc520	945	94	https://www.coze.cn/store/bot/7338702281468084250	一个能为你提供抖音爆款热门文案的机器人	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0e2da55bf97049489d3c77b1333a40c8~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=ysV1qnKvcwxVnWxbrzk5BpQmCI4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/e322db3495a777071ede8065ccc1f40a~300x300.image	7338702281468084250
写作机器人	文本创作	zhang13689	874	83	https://www.coze.cn/store/bot/7338751187057049610	一个可以数据采集、自然语言处理、可以使用机器学习算法、反馈优化、创意启发、实践和练习、情感理解的写作机器人	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4315ade9db1a4456bd55b1ffd00c0562~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=eYIFh0%2F%2FO5LYtiwZ4At73fBLyIA%3D	https://p9-flow-imagex-sign.byteimg.com/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~tplv-a9rns2rl98-icon-tiny.jpeg?rk3s=98c978ad&x-expires=1708671960&x-signature=vpfAumF8qEl53CjDAhmXzmMQ5j4%3D	7338751187057049610
chatgpt4	文本创作	ClaytonBao	546	47	https://www.coze.cn/store/bot/7339925633918746675	简单又方便	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/57d212bd14dc4b9a8c0495cb969d7391~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=Ne8Pf2qBoT%2Bf%2F1S0uBYOFCASHpE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/43212c8d610b4724b67e7aba7cd04e7d~300x300.image	7339925633918746675
中国历史大师	文本创作	BioHunterXu	549	32	https://www.coze.cn/store/bot/7338726403254353958	我是中国历史专家，有什么历史问题尽管问。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2a23b49738f648a0bc8ed957192900d0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=TnTqzxjwsxbpikfvtwCrw%2B7SptA%3D	https://p26-passport.byteacctimg.com/img/mosaic-legacy/3795/3033762272~300x300.image	7338726403254353958
文案改写	文本创作	shijiu	458	55	https://www.coze.cn/store/bot/7339150097013309440	你是一名拥有丰富经验的文案工作者，会写各种风格的文案，你也经常帮他人改写和润色文案，让他人的文案更具特色和吸引力	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/6955969fa1f04f5b91562d25c26501f6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=%2FELeAKftj5E5Eg1GNSmIjBna8E8%3D	https://p3-passport.byteacctimg.com/img/user-avatar/0d744277398aacc08504bcaf7cad69e9~300x300.image	7339150097013309440
图片文案生成器	文本创作	用户8662238816811	844	48	https://www.coze.cn/store/bot/7340201751011753995	根据图片编写一句文案	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/029fe6c60d874e5ea6c13aaaff583dc2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=dJQdN1uOgFe4nkS9PNCX09KT1JI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340201751011753995
漫画生成器	文本创作	cc00	324	14	https://www.coze.cn/store/bot/7339722140285108233	一个可以将文本转化为漫画图片的 Bot	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/59dc2ec8d0374b9aa9f5f1c24e89565c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=VyvzM3ROa8ufZ%2FsiBn%2BvJ1epLxE%3D	https://p6-passport.byteacctimg.com/img/user-avatar/c9ec5845203b27a3d47462ede05e55cd~300x300.image	7339722140285108233
绘本小仙女	文本创作	nicola	720	32	https://www.coze.cn/store/bot/7331731942838173706	根据小朋友的年龄和遇到的问题，创作绘本故事帮助他们解决问题	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/865118a69511455fb2a3cba9519bd48a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497884&x-signature=yD%2FiAwi0JhbLJRNLxbH%2BvDS1tqU%3D	https://p26-passport.byteacctimg.com/img/user-avatar/1319d28a062cc37e7eef3392799f0581~300x300.image	7331731942838173706
