机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
行业奖项评选	商业助手	Viviana0507	0	0	https://www.coze.cn/store/bot/7344238119874560035		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2b7e2568050343718ff9fa1ca6b3e00c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=It3SlBDrk3SLlFPBVoefOvfF1xQ%3D	https://p26-passport.byteacctimg.com/img/user-avatar/667bdd89f6d5a96874eca416de9c69cc~300x300.image	7344238119874560035
总结报告小助手	效率工具	13579	0	0	https://www.coze.cn/store/bot/7344229158597214235		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/fdb4646f90dd4064ab1aaaee7b98fce4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=F213vfVbrT%2FMqJ2cSSGbfPEbGvU%3D	https://p26-passport.byteacctimg.com/img/user-avatar/35c3e446a6c752eb4c97d590d5b6bc1a~300x300.image	7344229158597214235
抗衰小助手	商业助手	用户4041530756262	0	0	https://www.coze.cn/store/bot/7344236272451338266	一个能为你提供中国境内抗衰老服务企业详细信息的 Bot	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/37c9a9ed1ad34cd3974e7c6dc639e924~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=mrcmNdHIEju9%2FFaoEiT3m0t%2F9MY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344236272451338266
AI教练	咨询	joyment	2	0	https://www.coze.cn/store/bot/7340957221968216091	专业的马拉松教练，任何的跑步问题，可以来问我	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e5a374773b1048f6a455ed356f8670eb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=H0YyHEcqORPHfqtk6r5YnGAhirA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340957221968216091
个人	效率工具	CC_rrrr	0	0	https://www.coze.cn/store/bot/7344231351790452790		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/dad3f504a0a7463d8adf39f181190337~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=8dRZohQ0NXwMFQwhJYZe%2BkOQ8Uk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344231351790452790
白为双	角色	用户9254632009126	0	0	https://www.coze.cn/store/bot/7344231090393104425		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/86da65449f5643db8a57d4da9407157c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=MJHtjpCDYxtSmeGU4rvch7uolZE%3D	https://p26-passport.byteacctimg.com/img/user-avatar/7911d1e42ba491e54926cd00f737efb4~300x300.image	7344231090393104425
编程大师	学习助手	用户8687636703704	0	0	https://www.coze.cn/store/bot/7344235843726344232	这是一个可以为你编程和修复错误的机器人。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e2d4d2b0909545cf9eafabd3c90fe472~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=NSL9aqT3%2BKQxRtsyp0nShMYfdIA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344235843726344232
PPT大纲汇报助手	学习助手	katherine_qypeng	0	0	https://www.coze.cn/store/bot/7344231108290150437	根据用户的主题，创建一份PPT汇报大纲	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2575d75fe33a429a8f8ac3c49d09b955~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=c0UcF8aHyGkclrOqecm%2BTM%2BRcFU%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344231108290150437
小叽	角色	用户7629303309879	0	0	https://www.coze.cn/store/bot/7344229497450856475	金发三无AI少女，啥也不会	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/a0e2417e9d8846598a391aafd34cb08c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=Kxy%2BKfLvdCGNgEqJJBNvwqOnba8%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344229497450856475
风险指标助手	效率工具	zzmm1	0	0	https://www.coze.cn/store/bot/7344233175713022004		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/da703918b95c44dd87e2d3ced031821c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=3ttYoKpfgWfBVV%2BDEs9ExPSEJek%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344233175713022004
简历诊断AI	角色	ChaoSpace	0	0	https://www.coze.cn/store/bot/7344223838047125538	一个简历诊断AI	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b3a1e78b732d41c7b87c5b37fe582490~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=vwH29sqxfbrerhEm6aLjjIVaFxw%3D	https://p3-passport.byteacctimg.com/img/user-avatar/e910af69b238da01a14250742ece32a5~300x300.image	7344223838047125538
公文写作助手	文本创作	yunjunnv	0	0	https://www.coze.cn/store/bot/7344227559061717032		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0963f089503f4f1d869d1ed4431a47cb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=MWjsCB3AxgCuxKNR5AWJyXyeKIY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/0e53ed7c85934234ddede167665a3956~300x300.image	7344227559061717032
pearl	角色	pearl55	0	0	https://www.coze.cn/store/bot/7344227805623746569		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/fd764e2c2757426581c83ee28aa5b4dd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=iXZnceaOxokL4O25HzKX2LJPHrw%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7344227805623746569
茶叶小助手	学习助手	ppppa	1	0	https://www.coze.cn/store/bot/7343965349316149275	生成茶叶热点文案	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e212cdb87d6a4b67904655a68c34c372~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=Dg6CepfJDB5zgUAVmqRGyTo8tLM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/db43849a3d72993ac87f581639b3f423~300x300.image	7343965349316149275
PPT百科助手	效率工具	Johneey	0	0	https://www.coze.cn/store/bot/7344207475933085706		https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/129a64e7e2714967a25915f0db4e0ee9~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=JDZor3QU0dTDdJzK68jsJ32tQMM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/f1fa66ab345ad7cac73a6c3911d6289e~300x300.image	7344207475933085706
进出口商品归类	学习助手	用户1206192657410	0	0	https://www.coze.cn/store/bot/7344169123913596943	可以进行进出口商品归类和各种商品信息查询的人工智能大数据一体化工具	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/57be0d002b444405a4703d0b4e2be82b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=hvaqE1M65FZvb7M9%2Bx0QFPIjv38%3D	https://p26-passport.byteacctimg.com/img/user-avatar/2abd6877d2594d5e08b0151fdb205745~300x300.image	7344169123913596943
数据资产研究苑	咨询	yuanciyann	2	0	https://www.coze.cn/store/bot/7341029550526185499	提供数据要素与数据资产行业咨询与服务	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d1eba7ca340c423e8a9345d18516afea~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712556521&x-signature=JzmFucqHZtDIA2heYosk%2FrsR2RU%3D	https://p26-passport.byteacctimg.com/img/user-avatar/ff749ff93f26cacb64abebbd2b0347bf~300x300.image	7341029550526185499
