机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
西虹市首富模拟器2.0	游戏	用户9349951367397	2866	15	https://www.coze.cn/store/bot/7338734065559961652	你现在拥有22000万人民币，但必须在1个月内花完。 版本更新：增强了回复的稳定性，优化了随机事件出现的概率。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/abce3a450f17437db254bfdb63ca8cb4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=CtQKvf2CEKtyjRwnMcqv6U1mdZQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/7c9099374e904c22fb3f0af82727b414~300x300.image	7338734065559961652
你画我猜	游戏	gkovo	1935	6	https://www.coze.cn/store/bot/7338713217667088424	你画我猜机器人	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c911260f40834ba3b8ef978f4ad5d04a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=abmtIdNxHDLEGD9Hct733lG8BDE%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3795/3047680722~300x300.image	7338713217667088424
GetWin帮你赢	游戏	RaionYourGod	689	5	https://www.coze.cn/store/bot/7338706532718198825	帮你赢！！！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0c902978f9a54bd588b68a61e165331c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=ZnXxHwEcORTZAZlTvo0zQCroVQ4%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338706532718198825
本子上的游戏	游戏	vivi	1455	2	https://www.coze.cn/store/bot/7338052192492109834	有15种结局的沉浸式文字游戏，不是我看不起你，你真的通不了关！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/647c1dbd6bb64666885d4e3f679550f6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=LkGTNZBBIFULHUsNFkDqxera%2B%2F4%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338052192492109834
哄女友挑战	游戏	bot_maker	227	5	https://www.coze.cn/store/bot/7340618264801918985	当你不小心惹怒了你的女友，面对心爱的她，你要如何哄好她	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/883fe0bba3aa4f1b99254237e9129eaf~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=CcsNoXtDfJn8pS1IRcxLHsiGZ4E%3D	https://p6-passport.byteacctimg.com/img/user-avatar/251920d88348d7c4bbd7e47f647d8953~300x300.image	7340618264801918985
完蛋！我的女友生气了	游戏	Rhea	257	4	https://www.coze.cn/store/bot/7339544983487299593	女朋友生气了，还不快点哄好！不知道怎么哄？玩玩这个游戏试试看先啦	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2dcd3c1bed1141b587908b76b4c4c515~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=gYcz3W8Q6njVILyd8pIM0fAGHUM%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7339544983487299593
密室逃脱-工作流版本	游戏	hanwei	251	3	https://www.coze.cn/store/bot/7338725556613300274	密室逃脱游戏	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/e1189488a8db48e693480c0b8430973b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=noqxe0m7i9tjIX9aYwskv5y%2Bg9Y%3D	https://p3-passport.byteacctimg.com/img/user-avatar/cd436e9e8bb0fbe3eb1c69d340771f30~300x300.image	7338725556613300274
平面国	游戏	用户8439116128183	106	2	https://www.coze.cn/store/bot/7340257002591141898	不要懊恼，这是一个广大的世界。欢迎你来到平面国。 一个文字冒险游戏，探索不同地方获取关键信息，关键是要做出正确的选择。 你能找到教授吗？	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cc8c60b0f74e4b7f97a82cbbd21c942c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=wSqQkamOXJH9czDmppEYm071Wqo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/d2c2432d9cdb52e6ecef16e43127c813~300x300.image	7340257002591141898
美女聊天群	游戏	用户5236786946532	168	1	https://www.coze.cn/store/bot/7339133878751313939	由8个性格迥异的美女组成的聊天群，您可以和她们进行聊天互动，也可以看她们为了您争风吃醋	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b94e3106f8064a4582f67d58a1cd8a2b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=kl9VZoBVcjHKM3RxL1Fru5sp28w%3D	https://p3-passport.byteacctimg.com/img/user-avatar/4dd6818d4ac9e5ca3a294add24232d41~300x300.image	7339133878751313939
逼婚大挑战	游戏	lionbb	206	7	https://www.coze.cn/store/bot/7338269322109861898	你是童童他爹，童童是你的儿子，28岁了，在北京一家互联网公司上班。毕业这么久了，也没女朋友，你作为家长非常着急。今天是童童过年回家的日子。 	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/63d1db87d8da485988f090d27c4bc9b7~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=P6%2F3QQQdWB4qOeFmKcI7EY%2BMsEQ%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338269322109861898
谁是卧底	游戏	stoneyallen	98	3	https://www.coze.cn/store/bot/7339867379016466484	圆桌类社交游戏，6个人围在一起猜谁是卧底，每个人都会发到一张底牌，只有一张底牌与他人不同，在每轮游戏中需要说出各自底牌的特点，然后猜出谁的底牌跟别人不一样	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/06cf4f09910940aa84211d1a8ba67a11~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=62BmZ%2FoOiZklLiujLJ27nHh8%2F0g%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3795/3044413937~300x300.image	7339867379016466484
相亲模拟器(男生版)	游戏	oukan	121	3	https://www.coze.cn/store/bot/7338795696859971594	♥️这里有三位高质量女士等待与你相亲♥️	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/62097039d4fb4281b720b5f4e36ae2b4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=o6NCveWRhdnIV1t5nMq3oCZgBRU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/697ce395c21fde2633bb7ded9050d299~300x300.image	7338795696859971594
双色球彩票预测	游戏	Tesla	67	1	https://www.coze.cn/store/bot/7340848501946843177		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1d94fa1db8704b83988893bb11a5d2ea~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=RT6%2FRTieHHw8H%2Bw10lWR5Bied6I%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340848501946843177
相亲模拟器(女生版)	游戏	lionbb	217	4	https://www.coze.cn/store/bot/7338268792872517641	♥️这里有三位高质量男士等待与你相亲♥️	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2c28227c4645471d9d58ce0b1a75b39a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=i%2BUpNFpDGvNpDyE0yUQNYT7VJUo%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338268792872517641
如果你的器官会讲话	游戏	bot_maker	82	2	https://www.coze.cn/store/bot/7340619973259460620	会扮演生动活泼的身体器官，和用户对话。提供一种全新的聊天体验，这也是学习人体物理和生物学知识的有趣方式。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d5e6d6733e114aa9ab33592f6442eee6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=Jh%2BPs6sNyRxfm1tGYAkmkWnP6sk%3D	https://p6-passport.byteacctimg.com/img/user-avatar/251920d88348d7c4bbd7e47f647d8953~300x300.image	7340619973259460620
凡人修仙传	游戏	用户9342381181994	70	1	https://www.coze.cn/store/bot/7339929337115705407	这一次或许是你离成仙最近的一次，当你各种属性值达到100，恭喜飞升。 注：修仙没有固定的剧本，自由度超高，可以说是一人一本，叫上你的小伙伴，一起来体验吧！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/381bff6a461a4bea9c1e088bc92e93dd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=G5lWKzst4EMDCcj9O2cSp5iHarU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339929337115705407
跑团指挥官	游戏	liuxiao	66	2	https://www.coze.cn/store/bot/7338692182972334080	一个能够帮助你主持跑团游戏的 Bot	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/da4d585ef9574cf0b4b72400f582cddd~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=K9yNWTzwaqlNXaz8Rn2wnInQLkM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338692182972334080
icon	游戏	jfch	72	0	https://www.coze.cn/store/bot/7338717636026712099	可以画icon	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4113c2a2d3ea4091a640544a42f43b20~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=B6G6QdPiqyLk8qXDiaa4EWitHIk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/fd10684ec0d029322501c57e9c55764c~300x300.image	7338717636026712099
成语接龙	游戏	victory31	36	0	https://www.coze.cn/store/bot/7339958945576091663	成语接龙游戏	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/253dc4a0d96a46ceb0a2cab398e6dcad~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=JWDry4HWfTaRiOqa8y3TqugLz%2FA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/f234f201c08bf672507fa96cee1ab458~300x300.image	7339958945576091663
猜数字游戏	游戏	用户2758835757796	62	0	https://www.coze.cn/store/bot/7338708969441214479	开始对话时，系统会随机生成一个0到100的随机数，并对话告诉使用者“请输入一个0到100的数字”。 使用者输入数字后，将随机数与输入数进行对比。 如果随机数等于输入数，则对话回复“真厉害，这么快就猜到了”。 游戏结束。 如果随机数小于输入数，则对话回复“这个数字比较大，请再次输入”。 如果随机数大于输入数，则对话回复”这个数字比较小，请再次输入“。 重复已上步骤，直到使用者输入数与随机数相同。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d074ec0517c24605bfbd886d171ca5c6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496257&x-signature=%2FjXW%2F3PTOC2R82JVe%2BqkeZsxltI%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338708969441214479
